Country_Name	Underlying_Vulnerability	Economic_Distress	Index_Score	Domestic_Production
Zimbabwe	7.5	10	8.8	
Chad	7.1	10	8.5	
Congo (Kinshasa)	8.3	8	8.2	
Cambodia	7.9	8	8	
Sudan	7.9	8	8	
Iraq	8.8	7	7.9	0.9
Haiti	7.5	8	7.8	
Afghanistan	7.5	8	7.8	
Central African Republic	7.5	8	7.8	
Pakistan	7.5	8	7.8	
Ivory Coast	7.5	8	7.8	
Zambia	7.5	8	7.8	
Korea, North	5.4	10	7.7	
Bolivia	8.3	7	7.7	
Ecuador	8.3	7	7.7	
Angola	6.3	9	7.6	
Dominican Republic	6.3	9	7.6	
Ukraine	6.3	9	7.6	
Kenya	7.1	8	7.5	
Moldova	7.1	8	7.5	
Senegal	7.1	8	7.5	
Bangladesh	7.1	8	7.5	
Nepal	7.1	8	7.5	
Niger	7.1	8	7.5	
Guinea	7.1	8	7.5	
Guinea Bissau (Guinea-Bissau)	7.1	8	7.5	
Bosnia and Herzegovina	7.9	7	7.5	
Liberia	8.8	6	7.4	
Venezuela	6.7	8	7.3	
East Timor (Timor Leste)	6.7	8	7.3	
Sri Lanka	7.5	7	7.3	
Sierra Leone	8.3	6	7.2	
Argentina	6.3	8	7.1	
Madagascar	6.3	8	7.1	
Myanmar	6.3	8	7.1	
Panama	6.3	8	7.1	
Tajikistan	6.3	8	7.1	
Kyrgyzstan	6.3	8	7.1	
Lebanon	7.1	7	7	
Peru	7.1	7	7	
South Africa	7.1	7	7	
Thailand	7.1	7	7	
Colombia	7.1	7	7	
Nigeria	7.9	6	7	
Lesotho	7.9	6	7	
Mali	7.9	6	7	
Burundi	5.8	8	6.9	
Cameroon	5.8	8	6.9	
Mauritania	5.8	8	6.9	
Burkina Faso	5.8	8	6.9	
Papua New Guinea	5.8	8	6.9	
Indonesia	6.7	7	6.8	
Honduras	6.7	7	6.8	
Philippines	4.6	9	6.8	
Turkey	7.5	6	6.8	
Gambia	5.4	8	6.7	
Latvia	5.4	8	6.7	
Eritrea	5.4	8	6.7	
Estonia	5.4	8	6.7	
Guyana	8.3	5	6.7	
Guatemala	6.3	7	6.6	
Macedonia, The former Yugoslav Republic of	6.3	7	6.6	
Algeria	6.3	7	6.6	
Uganda	7.1	6	6.5	
Malaysia	7.1	6	6.5	
Russia	5	8	6.5	0.25
Paraguay	5.8	7	6.4	
Serbia	5.8	7	6.4	
Montenegro	5.8	7	6.4	
Romania	5.8	7	6.4	
Uzbekistan	4.6	8	6.3	
Greece	4.6	8	6.3	
Georgia	7.5	5	6.3	
Congo (Brazzaville)	7.5	5	6.3	
Belize	5.4	7	6.2	
Iran	5.4	7	6.2	0.6
Albania	5.4	7	6.2	
Turkmenistan	5.4	7	6.2	
Croatia	6.3	6	6.1	
Equatorial Guinea	6.3	6	6.1	
Mexico	6.3	6	6.1	0.7
Yemen	6.3	6	6.1	
Hungary	4.2	8	6.1	
Lithuania	4.2	8	6.1	
Saudi Arabia	4.2	8	6.1	0.25
Mongolia	4.2	8	6.1	
Bulgaria	5	7	6	
Jamaica	5	7	6	
Ghana	5.8	6	5.9	
Nicaragua	5.8	6	5.9	
Benin	5.8	6	5.9	
Tanzania	5.8	6	5.9	
Namibia	6.7	5	5.8	
Syria	4.6	7	5.8	
Armenia	4.6	7	5.8	
Mozambique	5.4	6	5.7	
Malawi	5.4	6	5.7	
Morocco	6.3	5	5.6	
Bahrain	5	6	5.5	
Kuwait	5	6	5.5	
Slovakia	5	6	5.5	
Cape Verde	5	6	5.5	
Israel	5	6	5.5	
Spain	2.9	8	5.5	
Brazil	5.8	5	5.4	
Egypt	3.8	7	5.4	
Jordan	3.8	7	5.4	
Togo	4.6	6	5.3	
Bhutan	4.6	6	5.3	
Iceland	2.5	8	5.3	
France	2.5	8	5.3	
United States of America	2.5	8	5.3	0.1
Azerbaijan	5.4	5	5.2	
El Salvador	5.4	5	5.2	
Uruguay	3.3	7	5.2	
Gabon	6.3	4	5.1	
Chile	4.2	6	5.1	
Laos	4.2	6	5.1	
Korea, South	4.2	6	5.1	
Ethiopia	4.2	6	5.1	
Italy	2.1	8	5	
Rwanda	5.8	4	4.9	
Portugal	1.7	8	4.8	
Belarus	4.6	5	4.8	
China	4.6	5	4.8	0.5
Kazakhstan	4.6	5	4.8	
Botswana	5.4	4	4.7	
Swaziland	5.4	4	4.7	
Trinidad and Tobago	5.4	4	4.7	
Singapore	3.3	6	4.7	
Malta	3.3	6	4.7	
United Kingdom	1.3	8	4.6	
Ireland	1.3	8	4.6	
Tunisia	4.2	5	4.6	
India	5	4	4.5	
Poland	2.9	6	4.5	
Sao Tome and Principe	4.6	4	4.3	
Libya	4.6	4	4.3	
Vietnam	2.5	6	4.3	
Taiwan	2.5	6	4.3	
Cuba	3.3	5	4.2	
Cyprus	4.2	4	4.1	
Qatar	4.2	4	4.1	
Seychelles	4.2	4	4.1	
United Arab Emirates	4.2	4	4.1	0.95
Belgium	2.1	6	4	
Hong Kong S.A.R.	2.1	6	4	
Netherlands	2.1	6	4	
Oman	3.8	4	3.9	
Japan	1.7	6	3.8	
Slovenia	1.7	6	3.8	
Germany	1.7	6	3.8	
Czech Republic	3.3	4	3.7	
Australia	1.3	6	3.6	
Austria	1.3	6	3.6	
Luxembourg	1.3	6	3.6	
New Zealand	1.3	6	3.6	
Costa Rica	2.1	5	3.5	
Mauritius	2.1	5	3.5	
Switzerland	0.8	6	3.4	
Finland	0.4	6	3.2	
Sweden	0.4	6	3.2	
Canada	1.7	4	2.8	0.5
Denmark	0.4	4	2.2	
Norway	0.4	2	1.2	
