Source	Target
Belarus	Russia
Belarus	Belarus
Belarus	Belarus
Belarus	Ukraine
Belarus	Poland
Belarus	Latvia
Belarus	Lithuania
Belarus	Latvia
Belarus	Poland
Belarus	Russia
Belarus	Ukraine
Belarus	Lithuania
Russia	Belarus
Russia	Latvia
Russia	Mongolia
Russia	Korea, North
Russia	Poland
Russia	Norway
Russia	Russia
Russia	Russia
Russia	United States of America
Russia	China
Russia	Japan
Russia	Korea, North
Russia	Finland
Russia	Kazakhstan
Russia	Belarus
Russia	Ukraine
Russia	Poland
Russia	Estonia
Russia	Latvia
Russia	Lithuania
Russia	Azerbaijan
Russia	Georgia
Russia	Mongolia
Russia	Georgia
Russia	Norway
Russia	Japan
Russia	Ukraine
Russia	United States of America
Russia	Estonia
Russia	Azerbaijan
Russia	China
Russia	Finland
Russia	Lithuania
Russia	Kazakhstan
Ukraine	Belarus
Ukraine	Romania
Ukraine	Hungary
Ukraine	Poland
Ukraine	Russia
Ukraine	Slovakia
Ukraine	Russia
Ukraine	Belarus
Ukraine	Ukraine
Ukraine	Ukraine
Ukraine	Hungary
Ukraine	Moldova
Ukraine	Poland
Ukraine	Romania
Ukraine	Slovakia
Ukraine	Moldova
Poland	Belarus
Poland	Czech Republic
Poland	Russia
Poland	Belarus
Poland	Ukraine
Poland	Czech Republic
Poland	Germany
Poland	Poland
Poland	Poland
Poland	Slovakia
Poland	Lithuania
Poland	Russia
Poland	Germany
Poland	Slovakia
Poland	Ukraine
Poland	Lithuania
Latvia	Belarus
Latvia	Russia
Latvia	Belarus
Latvia	Estonia
Latvia	Latvia
Latvia	Latvia
Latvia	Lithuania
Latvia	Russia
Latvia	Estonia
Latvia	Lithuania
Lithuania	Belarus
Lithuania	Latvia
Lithuania	Poland
Lithuania	Russia
Lithuania	Russia
Lithuania	Belarus
Lithuania	Poland
Lithuania	Latvia
Lithuania	Lithuania
Lithuania	Lithuania
Portugal	Spain
Portugal	Portugal
Portugal	Portugal
Portugal	Spain
Spain	Portugal
Spain	Morocco
Spain	France
Spain	France
Spain	Spain
Spain	Spain
Spain	Morocco
Spain	Portugal
Philippines	Malaysia
Philippines	Philippines
Philippines	Philippines
Philippines	Malaysia
Malaysia	Philippines
Malaysia	Indonesia
Malaysia	Indonesia
Malaysia	Malaysia
Malaysia	Malaysia
Malaysia	Philippines
Malaysia	Thailand
Malaysia	Singapore
Malaysia	Thailand
Malaysia	Singapore
Morocco	Algeria
Morocco	Spain
Morocco	Morocco
Morocco	Morocco
Morocco	Mauritania
Morocco	Algeria
Morocco	Mauritania
Morocco	Spain
Algeria	Morocco
Algeria	Mali
Algeria	Niger
Algeria	Algeria
Algeria	Algeria
Algeria	Mali
Algeria	Morocco
Algeria	Mauritania
Algeria	Libya
Algeria	Tunisia
Algeria	Niger
Algeria	Mauritania
Algeria	Libya
Algeria	Tunisia
Mauritania	Morocco
Mauritania	Mali
Mauritania	Algeria
Mauritania	Algeria
Mauritania	Mali
Mauritania	Morocco
Mauritania	Mauritania
Mauritania	Mauritania
Mauritania	Senegal
Mauritania	Senegal
Mali	Algeria
Mali	Burkina Faso
Mali	Mali
Mali	Mali
Mali	Mauritania
Mali	Senegal
Mali	Guinea
Mali	Ivory Coast
Mali	Niger
Mali	Niger
Mali	Algeria
Mali	Burkina Faso
Mali	Mauritania
Mali	Senegal
Mali	Guinea
Mali	Ivory Coast
Burkina Faso	Mali
Burkina Faso	Niger
Burkina Faso	Benin
Burkina Faso	Burkina Faso
Burkina Faso	Burkina Faso
Burkina Faso	Ghana
Burkina Faso	Mali
Burkina Faso	Togo
Burkina Faso	Ivory Coast
Burkina Faso	Niger
Burkina Faso	Benin
Burkina Faso	Ghana
Burkina Faso	Ivory Coast
Burkina Faso	Togo
Senegal	Mali
Senegal	Mauritania
Senegal	Guinea Bissau (Guinea-Bissau)
Senegal	Mali
Senegal	Gambia
Senegal	Guinea Bissau (Guinea-Bissau)
Senegal	Mauritania
Senegal	Senegal
Senegal	Senegal
Senegal	Guinea
Senegal	Guinea
Senegal	Gambia
Guinea	Mali
Guinea	Sierra Leone
Guinea	Guinea Bissau (Guinea-Bissau)
Guinea	Senegal
Guinea	Mali
Guinea	Guinea Bissau (Guinea-Bissau)
Guinea	Senegal
Guinea	Guinea
Guinea	Guinea
Guinea	Ivory Coast
Guinea	Liberia
Guinea	Sierra Leone
Guinea	Ivory Coast
Guinea	Liberia
Ivory Coast	Mali
Ivory Coast	Burkina Faso
Ivory Coast	Guinea
Ivory Coast	Ghana
Ivory Coast	Burkina Faso
Ivory Coast	Ghana
Ivory Coast	Mali
