Source	Target
Afghanistan	Afghanistan
Afghanistan	China
Afghanistan	Iran
Afghanistan	Pakistan
Afghanistan	Tajikistan
Afghanistan	Turkmenistan
Afghanistan	Uzbekistan
Albania	Albania
Albania	Greece
Albania	"Macedonia, The former Yugoslav Republic of"
Albania	Montenegro
Albania	Serbia
Algeria	Algeria
Algeria	Libya
Algeria	Mali
Algeria	Mauritania
Algeria	Morocco
Algeria	Niger
Algeria	Tunisia
Angola	Angola
Angola	Botswana
Angola	Congo (Brazzaville)
Angola	Congo (Kinshasa)
Angola	Namibia
Angola	Zambia
Argentina	Argentina
Argentina	Bolivia
Argentina	Brazil
Argentina	Chile
Argentina	Paraguay
Argentina	Uruguay
Armenia	Armenia
Armenia	Azerbaijan
Armenia	Georgia
Armenia	Iran
Armenia	Turkey
Australia	Australia
Australia	Papua New Guinea
Austria	Austria
Austria	Croatia
Austria	Czech Republic
Austria	Germany
Austria	Hungary
Austria	Italy
Austria	Slovakia
Austria	Slovenia
Austria	Switzerland
Azerbaijan	Armenia
Azerbaijan	Azerbaijan
Azerbaijan	Georgia
Azerbaijan	Iran
Azerbaijan	Russia
Azerbaijan	Turkey
Bahrain	Bahrain
Bahrain	Qatar
Bahrain	Saudi Arabia
Bangladesh	Bangladesh
Bangladesh	Bhutan
Bangladesh	India
Bangladesh	Myanmar
Bangladesh	Nepal
Belarus	Belarus
Belarus	Latvia
Belarus	Lithuania
Belarus	Poland
Belarus	Russia
Belarus	Ukraine
Belgium	Belgium
Belgium	France
Belgium	Germany
Belgium	Luxembourg
Belgium	Netherlands
Belize	Belize
Belize	Guatemala
Belize	Mexico
Benin	Benin
Benin	Burkina Faso
Benin	Ghana
Benin	Niger
Benin	Nigeria
Benin	Togo
Bhutan	Bangladesh
Bhutan	Bhutan
Bhutan	China
Bhutan	India
Bolivia	Argentina
Bolivia	Bolivia
Bolivia	Brazil
Bolivia	Paraguay
Bolivia	Peru
Bosnia and Herzegovina	Bosnia and Herzegovina
Bosnia and Herzegovina	Croatia
Bosnia and Herzegovina	Montenegro
Bosnia and Herzegovina	Serbia
Botswana	Angola
Botswana	Botswana
Botswana	Namibia
Botswana	South Africa
Botswana	Zambia
Botswana	Zimbabwe
Brazil	Argentina
Brazil	Bolivia
Brazil	Brazil
Brazil	Colombia
Brazil	France
Brazil	Guyana
Brazil	Paraguay
Brazil	Peru
Brazil	Uruguay
Brazil	Venezuela
Bulgaria	Bulgaria
Bulgaria	Greece
Bulgaria	"Macedonia, The former Yugoslav Republic of"
Bulgaria	Romania
Bulgaria	Serbia
Bulgaria	Turkey
Burkina Faso	Benin
Burkina Faso	Burkina Faso
Burkina Faso	Ghana
Burkina Faso	Ivory Coast
Burkina Faso	Mali
Burkina Faso	Niger
Burkina Faso	Togo
Burundi	Burundi
Burundi	Congo (Kinshasa)
Burundi	Rwanda
Burundi	Tanzania
Cambodia	Cambodia
Cambodia	Laos
Cambodia	Thailand
Cambodia	Vietnam
Cameroon	Cameroon
Cameroon	Central African Republic
Cameroon	Chad
Cameroon	Congo (Brazzaville)
Cameroon	Equatorial Guinea
Cameroon	Gabon
Cameroon	Nigeria
Canada	Canada
Canada	United States of America
Cape Verde	Cape Verde
Central African Republic	Cameroon
Central African Republic	Central African Republic
Central African Republic	Chad
Central African Republic	Congo (Brazzaville)
Central African Republic	Congo (Kinshasa)
Central African Republic	Sudan
Chad	Cameroon
Chad	Central African Republic
Chad	Chad
Chad	Libya
Chad	Niger
Chad	Nigeria
Chad	Sudan
Chile	Argentina
Chile	Chile
China	Afghanistan
China	Bhutan
China	China
China	Hong Kong S.A.R.
China	India
China	Kazakhstan
China	"Korea, North"
China	Kyrgyzstan
China	Laos
China	Mongolia
China	Myanmar
China	Nepal
China	Pakistan
China	Russia
China	Taiwan
China	Tajikistan
China	Vietnam
Colombia	Brazil
Colombia	Colombia
Colombia	Ecuador
Colombia	Panama
Colombia	Peru
Colombia	Venezuela
Congo (Brazzaville)	Angola
Congo (Brazzaville)	Cameroon
Congo (Brazzaville)	Central African Republic
Congo (Brazzaville)	Congo (Brazzaville)
Congo (Brazzaville)	Congo (Kinshasa)
Congo (Brazzaville)	Gabon
Congo (Kinshasa)	Angola
Congo (Kinshasa)	Burundi
Congo (Kinshasa)	Central African Republic
Congo (Kinshasa)	Congo (Brazzaville)
Congo (Kinshasa)	Congo (Kinshasa)
Congo (Kinshasa)	Rwanda
Congo (Kinshasa)	Tanzania
Congo (Kinshasa)	Uganda
Congo (Kinshasa)	Zambia
Costa Rica	Costa Rica
Costa Rica	Nicaragua
Costa Rica	Panama
Croatia	Austria
Croatia	Bosnia and Herzegovina
Croatia	Croatia
Croatia	Hungary
Croatia	Italy
Croatia	Montenegro
Croatia	Serbia
Croatia	Slovenia
Cuba	Cuba
Cyprus	Cyprus
Czech Republic	Austria
Czech Republic	Czech Republic
Czech Republic	Germany
Czech Republic	Poland
Czech Republic	Slovakia
Denmark	Denmark
Denmark	Germany
Denmark	Sweden
Dominican Republic	Dominican Republic
Dominican Republic	Haiti
East Timor (Timor Leste)	East Timor (Timor Leste)
East Timor (Timor Leste)	Indonesia
Ecuador	Colombia
Ecuador	Ecuador
Ecuador	Peru
Egypt	Egypt
Egypt	Israel
Egypt	Jordan
Egypt	Libya
Egypt	Saudi Arabia
Egypt	Sudan
El Salvador	El Salvador
El Salvador	Guatemala
El Salvador	Honduras
El Salvador	Nicaragua
Equatorial Guinea	Cameroon
Equatorial Guinea	Equatorial Guinea
Equatorial Guinea	Gabon
Eritrea	Eritrea
Eritrea	Ethiopia
Eritrea	Sudan
Eritrea	Yemen
Estonia	Estonia
Estonia	Finland
Estonia	Latvia
Estonia	Russia
Ethiopia	Eritrea
Ethiopia	Ethiopia
Ethiopia	Kenya
Ethiopia	Sudan
Finland	Estonia
Finland	Finland
Finland	Norway
Finland	Russia
Finland	Sweden
France	Belgium
France	Brazil
France	France
France	Germany
France	Italy
France	Luxembourg
France	Spain
France	Switzerland
France	United Kingdom
Gabon	Cameroon
Gabon	Congo (Brazzaville)
Gabon	Equatorial Guinea
Gabon	Gabon
Gambia	Gambia
Gambia	Senegal
Georgia	Armenia
Georgia	Azerbaijan
Georgia	Georgia
Georgia	Russia
Georgia	Turkey
Germany	Austria
Germany	Belgium
Germany	Czech Republic
Germany	Denmark
Germany	France
Germany	Germany
Germany	Italy
Germany	Luxembourg
Germany	Netherlands
Germany	Poland
Germany	Switzerland
Ghana	Benin
Ghana	Burkina Faso
Ghana	Ghana
Ghana	Ivory Coast
Ghana	Togo
Greece	Albania
Greece	Bulgaria
Greece	Greece
Greece	"Macedonia, The former Yugoslav Republic of"
Greece	Turkey
Guatemala	Belize
Guatemala	El Salvador
Guatemala	Guatemala
Guatemala	Honduras
Guatemala	Mexico
Guinea	Guinea
Guinea	Guinea Bissau (Guinea-Bissau)
Guinea	Ivory Coast
Guinea	Liberia
Guinea	Mali
Guinea	Senegal
Guinea	Sierra Leone
Guinea Bissau (Guinea-Bissau)	Guinea
Guinea Bissau (Guinea-Bissau)	Guinea Bissau (Guinea-Bissau)
Guinea Bissau (Guinea-Bissau)	Senegal
Guyana	Brazil
Guyana	Guyana
Guyana	Venezuela
Haiti	Dominican Republic
Haiti	Haiti
Honduras	El Salvador
Honduras	Guatemala
Honduras	Honduras
Honduras	Nicaragua
Hong Kong S.A.R.	China
Hong Kong S.A.R.	Hong Kong S.A.R.
Hungary	Austria
Hungary	Croatia
Hungary	Hungary
Hungary	Romania
Hungary	Serbia
Hungary	Slovakia
Hungary	Slovenia
Hungary	Ukraine
Iceland	Iceland
India	Bangladesh
India	Bhutan
India	China
India	India
India	Myanmar
India	Nepal
India	Pakistan
India	Sri Lanka
Indonesia	East Timor (Timor Leste)
Indonesia	Indonesia
Indonesia	Malaysia
Indonesia	Papua New Guinea
Indonesia	Singapore
Iran	Afghanistan
Iran	Armenia
Iran	Azerbaijan
Iran	Iran
Iran	Iraq
Iran	Kuwait
Iran	Oman
Iran	Pakistan
Iran	Turkey
Iran	Turkmenistan
Iran	United Arab Emirates
Iraq	Iran
Iraq	Iraq
Iraq	Jordan
Iraq	Kuwait
Iraq	Saudi Arabia
Iraq	Syria
Iraq	Turkey
Ireland	Ireland
Ireland	United Kingdom
Israel	Egypt
Israel	Israel
Israel	Jordan
Israel	Lebanon
Israel	Saudi Arabia
Israel	Syria
Italy	Austria
Italy	Croatia
Italy	France
Italy	Germany
Italy	Italy
Italy	Slovenia
Italy	Switzerland
Ivory Coast	Burkina Faso
Ivory Coast	Ghana
Ivory Coast	Guinea
Ivory Coast	Ivory Coast
Ivory Coast	Liberia
Ivory Coast	Mali
Jamaica	Jamaica
Japan	Japan
Japan	Russia
Jordan	Egypt
Jordan	Iraq
Jordan	Israel
Jordan	Jordan
Jordan	Lebanon
Jordan	Saudi Arabia
Jordan	Syria
Kazakhstan	China
Kazakhstan	Kazakhstan
Kazakhstan	Kyrgyzstan
Kazakhstan	Mongolia
Kazakhstan	Russia
Kazakhstan	Tajikistan
Kazakhstan	Turkmenistan
Kazakhstan	Uzbekistan
Kenya	Ethiopia
Kenya	Kenya
Kenya	Tanzania
Kenya	Uganda
"Korea, North"	China
"Korea, North"	"Korea, North"
"Korea, North"	"Korea, South"
"Korea, North"	Russia
"Korea, South"	"Korea, North"
"Korea, South"	"Korea, South"
Kuwait	Iran
Kuwait	Iraq
Kuwait	Kuwait
Kuwait	Saudi Arabia
Kyrgyzstan	China
Kyrgyzstan	Kazakhstan
Kyrgyzstan	Kyrgyzstan
Kyrgyzstan	Tajikistan
Kyrgyzstan	Uzbekistan
Laos	Cambodia
Laos	China
Laos	Laos
Laos	Myanmar
Laos	Thailand
Laos	Vietnam
Latvia	Belarus
Latvia	Estonia
Latvia	Latvia
Latvia	Lithuania
Latvia	Russia
Lebanon	Israel
Lebanon	Jordan
Lebanon	Lebanon
Lebanon	Syria
Lesotho	Lesotho
Lesotho	South Africa
Liberia	Guinea
Liberia	Ivory Coast
Liberia	Liberia
Liberia	Sierra Leone
Libya	Algeria
Libya	Chad
Libya	Egypt
Libya	Libya
Libya	Niger
Libya	Sudan
Libya	Tunisia
Lithuania	Belarus
Lithuania	Latvia
Lithuania	Lithuania
Lithuania	Poland
Lithuania	Russia
Luxembourg	Belgium
Luxembourg	France
Luxembourg	Germany
Luxembourg	Luxembourg
"Macedonia, The former Yugoslav Republic of"	Albania
"Macedonia, The former Yugoslav Republic of"	Bulgaria
"Macedonia, The former Yugoslav Republic of"	Greece
"Macedonia, The former Yugoslav Republic of"	"Macedonia, The former Yugoslav Republic of"
"Macedonia, The former Yugoslav Republic of"	Serbia
Madagascar	Madagascar
Malawi	Malawi
Malawi	Mozambique
Malawi	Tanzania
Malawi	Zambia
Malaysia	Indonesia
Malaysia	Malaysia
Malaysia	Philippines
Malaysia	Singapore
Malaysia	Thailand
Mali	Algeria
Mali	Burkina Faso
Mali	Guinea
Mali	Ivory Coast
Mali	Mali
Mali	Mauritania
Mali	Niger
Mali	Senegal
Malta	Malta
Mauritania	Algeria
Mauritania	Mali
Mauritania	Mauritania
Mauritania	Morocco
Mauritania	Senegal
Mauritius	Mauritius
Mexico	Belize
Mexico	Guatemala
Mexico	Mexico
Mexico	United States of America
Moldova	Moldova
Moldova	Romania
Moldova	Ukraine
Mongolia	China
Mongolia	Kazakhstan
Mongolia	Mongolia
Mongolia	Russia
Montenegro	Albania
Montenegro	Bosnia and Herzegovina
Montenegro	Croatia
Montenegro	Montenegro
Montenegro	Serbia
Morocco	Algeria
Morocco	Mauritania
Morocco	Morocco
Morocco	Spain
Mozambique	Malawi
Mozambique	Mozambique
Mozambique	South Africa
Mozambique	Swaziland
Mozambique	Tanzania
Mozambique	Zambia
Mozambique	Zimbabwe
Myanmar	Bangladesh
Myanmar	China
Myanmar	India
Myanmar	Laos
Myanmar	Myanmar
Myanmar	Thailand
Namibia	Angola
Namibia	Botswana
Namibia	Namibia
Namibia	South Africa
Namibia	Zambia
Namibia	Zimbabwe
Nepal	Bangladesh
Nepal	China
Nepal	India
Nepal	Nepal
Netherlands	Belgium
Netherlands	Germany
Netherlands	Netherlands
New Zealand	New Zealand
Nicaragua	Costa Rica
Nicaragua	El Salvador
Nicaragua	Honduras
Nicaragua	Nicaragua
Niger	Algeria
Niger	Benin
Niger	Burkina Faso
Niger	Chad
Niger	Libya
Niger	Mali
Niger	Niger
Niger	Nigeria
Nigeria	Benin
Nigeria	Cameroon
Nigeria	Chad
Nigeria	Niger
Nigeria	Nigeria
Norway	Finland
Norway	Norway
Norway	Russia
Norway	Sweden
Oman	Iran
Oman	Oman
Oman	Saudi Arabia
Oman	United Arab Emirates
Oman	Yemen
Pakistan	Afghanistan
Pakistan	China
Pakistan	India
Pakistan	Iran
Pakistan	Pakistan
Pakistan	Tajikistan
Panama	Colombia
Panama	Costa Rica
Panama	Panama
Papua New Guinea	Australia
Papua New Guinea	Indonesia
Papua New Guinea	Papua New Guinea
Paraguay	Argentina
Paraguay	Bolivia
Paraguay	Brazil
Paraguay	Paraguay
Peru	Bolivia
Peru	Brazil
Peru	Colombia
Peru	Ecuador
Peru	Peru
Philippines	Malaysia
Philippines	Philippines
Poland	Belarus
Poland	Czech Republic
Poland	Germany
Poland	Lithuania
Poland	Poland
Poland	Russia
Poland	Slovakia
Poland	Ukraine
Portugal	Portugal
Portugal	Spain
Qatar	Bahrain
Qatar	Qatar
Qatar	Saudi Arabia
Qatar	United Arab Emirates
Romania	Bulgaria
Romania	Hungary
Romania	Moldova
Romania	Romania
Romania	Serbia
Romania	Ukraine
Russia	Azerbaijan
Russia	Belarus
Russia	China
Russia	Estonia
Russia	Finland
Russia	Georgia
Russia	Japan
Russia	Kazakhstan
Russia	"Korea, North"
Russia	Latvia
Russia	Lithuania
Russia	Mongolia
Russia	Norway
Russia	Poland
Russia	Russia
Russia	Ukraine
Russia	United States of America
Rwanda	Burundi
Rwanda	Congo (Kinshasa)
Rwanda	Rwanda
Rwanda	Tanzania
Rwanda	Uganda
Sao Tome and Principe	Sao Tome and Principe
Saudi Arabia	Bahrain
Saudi Arabia	Egypt
Saudi Arabia	Iraq
Saudi Arabia	Israel
Saudi Arabia	Jordan
Saudi Arabia	Kuwait
Saudi Arabia	Oman
Saudi Arabia	Qatar
Saudi Arabia	Saudi Arabia
Saudi Arabia	United Arab Emirates
Saudi Arabia	Yemen
Senegal	Gambia
Senegal	Guinea
Senegal	Guinea Bissau (Guinea-Bissau)
Senegal	Mali
Senegal	Mauritania
Senegal	Senegal
Serbia	Albania
Serbia	Bosnia and Herzegovina
Serbia	Bulgaria
Serbia	Croatia
Serbia	Hungary
Serbia	"Macedonia, The former Yugoslav Republic of"
Serbia	Montenegro
Serbia	Romania
Serbia	Serbia
Seychelles	Seychelles
Sierra Leone	Guinea
Sierra Leone	Liberia
Sierra Leone	Sierra Leone
Singapore	Indonesia
Singapore	Malaysia
Singapore	Singapore
Slovakia	Austria
Slovakia	Czech Republic
Slovakia	Hungary
Slovakia	Poland
Slovakia	Slovakia
Slovakia	Ukraine
Slovenia	Austria
