Source	Target
Afghanistan	Sudan
Afghanistan	Spain
Afghanistan	United Arab Emirates
Sudan	China
Sudan	Denmark
Sudan	Ethiopia
Sudan	France
Sudan	India
Sudan	Indonesia
Sudan	Italy
Sudan	Japan
Sudan	Netherlands
Sudan	Thailand
Sudan	Uganda
Sudan	United Arab Emirates
Spain	Albania
Spain	Algeria
Spain	Argentina
Spain	Armenia
Spain	Australia
Spain	Austria
Spain	Azerbaijan
Spain	Bahrain
Spain	Belarus
Spain	Belgium
Spain	Bolivia
Spain	Bosnia and Herzegovina
Spain	Brazil
Spain	Bulgaria
Spain	Burkina Faso
Spain	Cameroon
Spain	Canada
Spain	Cape Verde
Spain	Chile
Spain	China
Spain	Hong Kong S.A.R.
Spain	Colombia
Spain	Costa Rica
Spain	Ivory Coast
Spain	Croatia
Spain	Cyprus
Spain	Czech Republic
Spain	Denmark
Spain	Dominican Republic
Spain	Ecuador
Spain	Egypt
Spain	El Salvador
Spain	Estonia
Spain	Ethiopia
Spain	Finland
Spain	Sudan
Spain	France
Spain	Gambia
Spain	Georgia
Spain	Germany
Spain	Ghana
Spain	Greece
Spain	Guatemala
Spain	Hungary
Spain	Iceland
Spain	India
Spain	Indonesia
Spain	Iran
Spain	Ireland
Spain	Israel
Spain	Italy
Spain	Jamaica
Spain	Japan
Spain	Jordan
Spain	Kazakhstan
Spain	Kyrgyzstan
Spain	Latvia
Spain	Lebanon
Spain	Lithuania
Spain	Luxembourg
Spain	Madagascar
Spain	Malaysia
Spain	Malta
Spain	Mauritania
Spain	Mauritius
Spain	Mexico
Spain	Montenegro
Spain	Morocco
Spain	Mozambique
Spain	Namibia
Spain	Nepal
Spain	Netherlands
Spain	New Zealand
Spain	Nicaragua
Spain	Niger
Spain	Nigeria
Spain	Norway
Spain	Oman
Spain	Pakistan
Spain	Panama
Spain	Paraguay
Spain	Peru
Spain	Philippines
Spain	Poland
Spain	Portugal
Spain	Korea, South
Spain	Moldova
Spain	Romania
Spain	Russia
Spain	Saudi Arabia
Spain	Senegal
Spain	Serbia
Spain	Singapore
Spain	Slovakia
Spain	Slovenia
Spain	South Africa
Spain	Sri Lanka
Spain	Switzerland
Spain	Thailand
Spain	Tunisia
Spain	Turkey
Spain	United States of America
Spain	Uganda
Spain	Ukraine
Spain	United Arab Emirates
Spain	United Kingdom
Spain	Tanzania
Spain	Uruguay
Spain	Venezuela
Spain	Vietnam
Spain	Yemen
United Arab Emirates	Afghanistan
United Arab Emirates	Albania
United Arab Emirates	Algeria
United Arab Emirates	Argentina
United Arab Emirates	Armenia
United Arab Emirates	Australia
United Arab Emirates	Austria
United Arab Emirates	Azerbaijan
United Arab Emirates	Bahrain
United Arab Emirates	Belgium
United Arab Emirates	Botswana
United Arab Emirates	Brazil
United Arab Emirates	Burkina Faso
United Arab Emirates	Burundi
United Arab Emirates	Cambodia
United Arab Emirates	Cameroon
United Arab Emirates	Canada
United Arab Emirates	Chile
United Arab Emirates	China
United Arab Emirates	Hong Kong S.A.R.
United Arab Emirates	Colombia
United Arab Emirates	Ivory Coast
United Arab Emirates	Croatia
United Arab Emirates	Cyprus
United Arab Emirates	Denmark
United Arab Emirates	Egypt
United Arab Emirates	Estonia
United Arab Emirates	Ethiopia
United Arab Emirates	Sudan
United Arab Emirates	France
United Arab Emirates	Gambia
United Arab Emirates	Georgia
United Arab Emirates	Germany
United Arab Emirates	Ghana
United Arab Emirates	Greece
United Arab Emirates	Guyana
United Arab Emirates	India
United Arab Emirates	Indonesia
United Arab Emirates	Iran
United Arab Emirates	Italy
United Arab Emirates	Jamaica
United Arab Emirates	Japan
United Arab Emirates	Jordan
United Arab Emirates	Kazakhstan
United Arab Emirates	Kyrgyzstan
United Arab Emirates	Lebanon
United Arab Emirates	Luxembourg
United Arab Emirates	Madagascar
United Arab Emirates	Malawi
United Arab Emirates	Malaysia
United Arab Emirates	Mali
United Arab Emirates	Malta
United Arab Emirates	Mauritania
United Arab Emirates	Mauritius
United Arab Emirates	Mexico
United Arab Emirates	Morocco
United Arab Emirates	Mozambique
United Arab Emirates	Namibia
United Arab Emirates	Nepal
United Arab Emirates	Netherlands
United Arab Emirates	New Zealand
United Arab Emirates	Niger
United Arab Emirates	Nigeria
United Arab Emirates	Oman
United Arab Emirates	Pakistan
United Arab Emirates	Paraguay
United Arab Emirates	Philippines
United Arab Emirates	Portugal
United Arab Emirates	Korea, South
United Arab Emirates	Russia
United Arab Emirates	Rwanda
United Arab Emirates	Sao Tome and Principe
United Arab Emirates	Saudi Arabia
United Arab Emirates	Senegal
United Arab Emirates	Serbia
United Arab Emirates	Singapore
United Arab Emirates	Slovenia
United Arab Emirates	South Africa
United Arab Emirates	Spain
United Arab Emirates	Sri Lanka
United Arab Emirates	Thailand
United Arab Emirates	Togo
United Arab Emirates	Tunisia
United Arab Emirates	Turkey
United Arab Emirates	United States of America
United Arab Emirates	Uganda
United Arab Emirates	Ukraine
United Arab Emirates	United Kingdom
United Arab Emirates	Tanzania
United Arab Emirates	Vietnam
United Arab Emirates	Yemen
United Arab Emirates	Zambia
United Arab Emirates	Zimbabwe
Albania	Canada
Albania	Czech Republic
Albania	France
Albania	Germany
Albania	Greece
Albania	Hungary
Albania	India
Albania	Italy
Albania	Malta
Albania	Montenegro
Albania	Netherlands
Albania	Poland
Albania	Romania
Albania	Senegal
Albania	Spain
Canada	Albania
Canada	Algeria
Canada	Argentina
Canada	Armenia
Canada	Australia
Canada	Austria
Canada	Azerbaijan
Canada	Bahrain
Canada	Belarus
Canada	Belgium
Canada	Belize
Canada	Bosnia and Herzegovina
Canada	Botswana
Canada	Brazil
Canada	Bulgaria
Canada	Burkina Faso
Canada	Cameroon
Canada	Chile
Canada	China
Canada	Hong Kong S.A.R.
Canada	Colombia
Canada	Costa Rica
Canada	Ivory Coast
Canada	Croatia
Canada	Cyprus
Canada	Czech Republic
Canada	Denmark
Canada	Dominican Republic
Canada	Ecuador
Canada	El Salvador
Canada	Estonia
Canada	Ethiopia
Canada	Finland
Canada	Sudan
Canada	France
Canada	Georgia
Canada	Germany
Canada	Ghana
Canada	Greece
Canada	Guatemala
Canada	Guyana
Canada	Iceland
Canada	India
Canada	Indonesia
Canada	Iran
Canada	Ireland
Canada	Israel
Canada	Italy
Canada	Jamaica
Canada	Japan
Canada	Jordan
Canada	Kazakhstan
Canada	Kyrgyzstan
Canada	Latvia
Canada	Lebanon
Canada	Lithuania
Canada	Luxembourg
Canada	Madagascar
Canada	Malaysia
Canada	Mali
Canada	Malta
Canada	Mauritania
Canada	Mauritius
Canada	Mexico
Canada	Montenegro
Canada	Morocco
Canada	Nepal
Canada	Netherlands
Canada	New Zealand
Canada	Nicaragua
Canada	Norway
Canada	Oman
Canada	Pakistan
Canada	Panama
Canada	Paraguay
Canada	Peru
Canada	Poland
Canada	Portugal
Canada	Korea, South
Canada	Moldova
Canada	Romania
Canada	Russia
Canada	Saudi Arabia
Canada	Senegal
Canada	Serbia
Canada	Singapore
Canada	Slovakia
Canada	Slovenia
Canada	South Africa
Canada	Spain
Canada	Switzerland
Canada	Thailand
Canada	Tunisia
Canada	Turkey
Canada	United States of America
Canada	Uganda
Canada	Ukraine
Canada	United Arab Emirates
Canada	United Kingdom
Canada	Tanzania
Canada	Uruguay
Canada	Venezuela
Canada	Vietnam
Canada	Yemen
Canada	Zambia
Canada	Zimbabwe
Czech Republic	Albania
Czech Republic	Algeria
Czech Republic	Argentina
Czech Republic	Australia
Czech Republic	Austria
Czech Republic	Bahrain
Czech Republic	Belarus
Czech Republic	Belgium
Czech Republic	Bosnia and Herzegovina
Czech Republic	Bulgaria
Czech Republic	Canada
Czech Republic	Chile
Czech Republic	China
Czech Republic	Colombia
Czech Republic	Costa Rica
Czech Republic	Croatia
Czech Republic	Denmark
Czech Republic	Ecuador
Czech Republic	El Salvador
Czech Republic	Estonia
Czech Republic	Ethiopia
Czech Republic	Finland
Czech Republic	France
Czech Republic	Georgia
Czech Republic	Germany
Czech Republic	Greece
Czech Republic	Hungary
Czech Republic	Iceland
Czech Republic	India
Czech Republic	Ireland
Czech Republic	Israel
Czech Republic	Italy
Czech Republic	Jordan
Czech Republic	Kazakhstan
Czech Republic	Kyrgyzstan
Czech Republic	Latvia
Czech Republic	Lebanon
Czech Republic	Lithuania
Czech Republic	Malaysia
Czech Republic	Malta
Czech Republic	Mauritius
Czech Republic	Mexico
Czech Republic	Montenegro
Czech Republic	Morocco
Czech Republic	Nepal
Czech Republic	Netherlands
Czech Republic	New Zealand
Czech Republic	Norway
Czech Republic	Oman
Czech Republic	Pakistan
Czech Republic	Panama
Czech Republic	Peru
Czech Republic	Poland
Czech Republic	Portugal
Czech Republic	Korea, South
Czech Republic	Moldova
Czech Republic	Romania
Czech Republic	Russia
Czech Republic	Serbia
Czech Republic	Singapore
Czech Republic	Slovakia
Czech Republic	Slovenia
Czech Republic	Spain
Czech Republic	Switzerland
Czech Republic	Thailand
Czech Republic	Ukraine
Czech Republic	United Arab Emirates
Czech Republic	United Kingdom
France	Albania
France	Algeria
France	Argentina
France	Armenia
France	Australia
France	Austria
France	Azerbaijan
France	Bahrain
France	Belarus
France	Belgium
France	Bolivia
France	Bosnia and Herzegovina
France	Brazil
France	Bulgaria
France	Burkina Faso
France	Burundi
France	Cambodia
France	Cameroon
France	Canada
France	Cape Verde
France	Central African Republic
France	Chile
France	China
France	Hong Kong S.A.R.
France	Colombia
France	Costa Rica
France	Ivory Coast
France	Croatia
France	Cyprus
France	Czech Republic
France	Denmark
France	Dominican Republic
France	Ecuador
France	El Salvador
France	Estonia
France	Ethiopia
France	Finland
France	Sudan
France	Gambia
France	Georgia
France	Germany
France	Ghana
France	Greece
France	Guatemala
France	Guyana
France	Hungary
France	Iceland
France	India
France	Indonesia
France	Iran
France	Ireland
France	Israel
France	Italy
France	Jamaica
France	Japan
France	Jordan
France	Kazakhstan
France	Kyrgyzstan
France	Latvia
France	Lebanon
France	Lithuania
France	Luxembourg
France	Madagascar
France	Malawi
France	Malaysia
France	Mali
France	Malta
France	Mauritania
France	Mauritius
France	Mexico
France	Montenegro
France	Morocco
France	Mozambique
France	Namibia
France	Nepal
France	Netherlands
France	New Zealand
France	Nicaragua
France	Niger
France	Nigeria
France	Norway
France	Oman
France	Pakistan
France	Panama
France	Paraguay
France	Peru
France	Philippines
France	Poland
France	Portugal
France	Korea, South
France	Moldova
France	Romania
France	Russia
France	Rwanda
France	Sao Tome and Principe
France	Saudi Arabia
France	Senegal
France	Serbia
France	Singapore
France	Slovakia
France	Slovenia
France	South Africa
France	Spain
France	Sri Lanka
France	Switzerland
France	Thailand
France	Togo
France	Tunisia
France	Turkey
France	United States of America
France	Uganda
France	Ukraine
France	United Arab Emirates
France	United Kingdom
France	Tanzania
France	Uruguay
France	Venezuela
France	Vietnam
France	Yemen
France	Zambia
France	Zimbabwe
Germany	Albania
Germany	Algeria
Germany	Argentina
Germany	Armenia
Germany	Australia
Germany	Austria
Germany	Azerbaijan
Germany	Bahrain
Germany	Belarus
Germany	Belgium
Germany	Belize
Germany	Bhutan
Germany	Bolivia
Germany	Bosnia and Herzegovina
Germany	Brazil
Germany	Bulgaria
Germany	Burkina Faso
Germany	Cambodia
Germany	Cameroon
Germany	Canada
Germany	Cape Verde
Germany	Central African Republic
Germany	Chile
Germany	China
Germany	Hong Kong S.A.R.
Germany	Colombia
Germany	Costa Rica
Germany	Ivory Coast
Germany	Croatia
Germany	Cyprus
Germany	Czech Republic
Germany	Denmark
Germany	Dominican Republic
Germany	Ecuador
Germany	El Salvador
Germany	Estonia
Germany	Ethiopia
Germany	Finland
Germany	Sudan
Germany	France
Germany	Gambia
Germany	Georgia
Germany	Ghana
Germany	Greece
Germany	Guatemala
Germany	Guyana
Germany	Hungary
Germany	Iceland
Germany	India
Germany	Indonesia
Germany	Iran
Germany	Ireland
Germany	Israel
Germany	Italy
Germany	Jamaica
Germany	Japan
Germany	Jordan
Germany	Kazakhstan
Germany	Kyrgyzstan
Germany	Latvia
Germany	Lebanon
Germany	Lithuania
Germany	Luxembourg
Germany	Madagascar
Germany	Malaysia
Germany	Mali
Germany	Malta
Germany	Mauritania
Germany	Mauritius
Germany	Mexico
Germany	Montenegro
Germany	Morocco
Germany	Mozambique
Germany	Namibia
Germany	Nepal
Germany	Netherlands
Germany	New Zealand
Germany	Nicaragua
Germany	Niger
Germany	Nigeria
Germany	Norway
Germany	Oman
Germany	Pakistan
Germany	Panama
Germany	Paraguay
Germany	Peru
Germany	Philippines
Germany	Poland
Germany	Portugal
Germany	Korea, South
Germany	Moldova
Germany	Romania
Germany	Russia
Germany	Rwanda
Germany	Saudi Arabia
Germany	Senegal
Germany	Serbia
Germany	Singapore
Germany	Slovakia
Germany	Slovenia
Germany	South Africa
Germany	Spain
Germany	Sri Lanka
Germany	Switzerland
Germany	Thailand
Germany	Togo
Germany	Tunisia
Germany	Turkey
Germany	United States of America
Germany	Uganda
Germany	Ukraine
Germany	United Arab Emirates
Germany	United Kingdom
Germany	Tanzania
Germany	Uruguay
Germany	Venezuela
Germany	Vietnam
Germany	Yemen
Germany	Zambia
Germany	Zimbabwe
Greece	Albania
Greece	Algeria
Greece	Armenia
Greece	Australia
Greece	Austria
Greece	Azerbaijan
Greece	Bahrain
Greece	Belgium
Greece	Bosnia and Herzegovina
Greece	Brazil
Greece	Bulgaria
Greece	Cameroon
Greece	Canada
Greece	China
Greece	Hong Kong S.A.R.
Greece	Costa Rica
Greece	Ivory Coast
Greece	Croatia
Greece	Cyprus
Greece	Czech Republic
Greece	Egypt
Greece	Ethiopia
Greece	France
Greece	Georgia
Greece	Germany
Greece	Ghana
Greece	Hungary
Greece	Israel
Greece	Italy
Greece	Jamaica
Greece	Japan
Greece	Jordan
Greece	Kazakhstan
Greece	Lebanon
Greece	Malta
Greece	Mauritania
Greece	Montenegro
Greece	Morocco
Greece	Mozambique
Greece	Netherlands
Greece	New Zealand
Greece	Nigeria
Greece	Panama
Greece	Peru
Greece	Poland
Greece	Portugal
Greece	Korea, South
Greece	Moldova
Greece	Romania
Greece	Russia
Greece	Saudi Arabia
Greece	Senegal
Greece	Serbia
Greece	Singapore
Greece	Slovenia
Greece	South Africa
Greece	Spain
Greece	Thailand
Greece	Tunisia
Greece	Turkey
Greece	United States of America
Greece	Ukraine
Greece	United Arab Emirates
Greece	United Kingdom
Hungary	Albania
Hungary	Algeria
Hungary	Armenia
Hungary	Austria
Hungary	Azerbaijan
Hungary	Bahrain
Hungary	Belarus
Hungary	Belgium
Hungary	Bosnia and Herzegovina
Hungary	Brazil
Hungary	Bulgaria
Hungary	Canada
Hungary	Chile
Hungary	China
Hungary	Colombia
Hungary	Croatia
Hungary	Czech Republic
Hungary	Denmark
Hungary	Ecuador
Hungary	El Salvador
Hungary	Estonia
Hungary	Ethiopia
Hungary	Finland
Hungary	France
Hungary	Georgia
Hungary	Germany
Hungary	Greece
Hungary	India
Hungary	Indonesia
Hungary	Ireland
Hungary	Italy
Hungary	Japan
Hungary	Jordan
Hungary	Kazakhstan
Hungary	Latvia
Hungary	Lithuania
Hungary	Malaysia
Hungary	Mexico
Hungary	Montenegro
Hungary	Netherlands
Hungary	New Zealand
Hungary	Norway
Hungary	Poland
Hungary	Moldova
Hungary	Romania
Hungary	Russia
Hungary	Serbia
Hungary	Singapore
Hungary	Slovakia
Hungary	Slovenia
Hungary	Spain
Hungary	Switzerland
Hungary	Thailand
Hungary	Turkey
Hungary	Ukraine
Hungary	United Arab Emirates
Hungary	United Kingdom
India	Albania
India	Algeria
India	Argentina
India	Australia
India	Austria
India	Bahrain
India	Belarus
India	Belgium
India	Bhutan
India	Bolivia
India	Bosnia and Herzegovina
India	Botswana
India	Brazil
India	Bulgaria
India	Burkina Faso
India	Burundi
India	Cambodia
India	Cameroon
India	Canada
India	Chile
India	China
India	Hong Kong S.A.R.
India	Colombia
India	Costa Rica
India	Ivory Coast
India	Croatia
India	Cyprus
India	Czech Republic
India	Denmark
India	Dominican Republic
India	Ecuador
India	Egypt
India	El Salvador
India	Estonia
India	Ethiopia
India	Finland
India	Sudan
India	France
India	Gambia
India	Georgia
India	Germany
India	Ghana
India	Greece
India	Guatemala
India	Indonesia
India	Iran
India	Israel
India	Italy
India	Japan
India	Jordan
India	Kazakhstan
India	Kyrgyzstan
India	Lebanon
India	Madagascar
India	Malawi
India	Malaysia
India	Mali
India	Malta
India	Mauritius
